subject,type,condition,goal,block,block_num,block_instr_text,trial_num,stim_0,stim_0_value,stim_1,stim_1_value,position_changed,stim_left,stim_right,stim_left_name,stim_right_name,stim_left_name_feedback,stim_right_name_feedback,optimal_stim,optimal_choice,practice_round.thisRepN,practice_round.thisTrialN,practice_round.thisN,practice_round.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,BlockInstr_disp.started,BlockInstr_disp.stopped,iti.started,iti.stopped,left.started,left.stopped,right.started,right.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,chosen_stim_name,chosen_stim_0,chosen_stim_1,true_accuracy,left_feedback.started,left_feedback.stopped,right_feedback.started,right_feedback.stopped,cumulativePts_self,outcomeDescr,outcome,feedback_text.started,feedback_text.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,self,win,self_win,1,Play to WIN points,33,stimuli/slot1_up.jpg,0,stimuli/slot2_up.jpg,1,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right,,,,,0,33,33,33,201.4726363299993,None,202.93754009999975,None,202.02140679999866,None,202.02140679999866,None,left,0,0.33004579999942507,202.02140679999866,None,stimuli/slot1_up.jpg,1,0,1,202.42282609999893,None,202.42282609999893,None,4200,self avoid win,0,203.445520199999,None,00,2021_Feb_28_1628,two-armed-bandit,2020.2.10,60.10554533748281,
0,0,self,win,self_win,1,Play to WIN points,34,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right,,,,,0,34,34,34,204.95184822999872,None,206.5000917999987,None,205.50071019999996,None,205.50071019999996,None,left,0,0.4088492999999289,205.50071019999996,None,stimuli/slot2_up.jpg,0,1,0,205.99433669999962,None,205.99433669999962,None,4200,self avoid win,0,206.99942249999913,None,00,2021_Feb_28_1628,two-armed-bandit,2020.2.10,60.10554533748281,
0,0,self,win,self_win,1,Play to WIN points,35,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot1_up.jpg,left,,,,,0,35,35,35,208.51440522999982,None,210.02925109999887,None,209.06175129999974,None,209.06175129999974,None,left,1,0.3717934000014793,209.06175129999974,None,stimuli/slot1_up.jpg,1,0,1,209.52248119999967,None,209.52248119999967,None,4300,self win,1,210.53844169999866,None,00,2021_Feb_28_1628,two-armed-bandit,2020.2.10,60.10554533748281,
0,0,self,win,self_win,1,Play to WIN points,36,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot1_up.jpg,left,,,,,0,36,36,36,212.04370242999866,None,213.74146519999886,None,212.59112229999846,None,212.59112229999846,None,right,0,0.5804879999996047,212.59112229999846,None,stimuli/slot2_up.jpg,0,1,0,213.2426263999987,None,213.2426263999987,None,4300,self avoid win,0,214.24986949999948,None,00,2021_Feb_28_1628,two-armed-bandit,2020.2.10,60.10554533748281,
0,0,self,win,self_win,1,Play to WIN points,37,stimuli/slot1_up.jpg,0,stimuli/slot2_up.jpg,1,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right,,,,,0,37,37,37,215.75606102999845,None,218.0033131,None,216.32215369999903,None,216.32215369999903,None,left,0,1.103055300000051,216.32215369999903,None,stimuli/slot1_up.jpg,1,0,1,217.50266069999998,None,217.50266069999998,None,4300,self avoid win,0,218.50263399999858,None,00,2021_Feb_28_1628,two-armed-bandit,2020.2.10,60.10554533748281,
0,0,self,win,self_win,1,Play to WIN points,38,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right,,,,,0,38,38,38,220.0171586299999,None,221.63235469999927,None,220.56756929999938,None,220.56756929999938,None,right,1,0.5003721000011865,220.56756929999938,None,stimuli/slot1_up.jpg,1,0,1,221.12838239999837,None,221.12838239999837,None,4400,self win,1,222.13873520000016,None,00,2021_Feb_28_1628,two-armed-bandit,2020.2.10,60.10554533748281,
0,0,self,win,self_win,1,Play to WIN points,39,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right,,,,,0,39,39,39,223.64675422999935,None,225.41126809999878,None,224.196068199999,None,224.196068199999,None,right,1,0.6435810000002675,224.196068199999,None,stimuli/slot1_up.jpg,1,0,1,224.9114011999991,None,224.9114011999991,None,4500,self win,1,225.91085679999924,None,00,2021_Feb_28_1628,two-armed-bandit,2020.2.10,60.10554533748281,
0,0,self,win,self_win,1,Play to WIN points,40,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot1_up.jpg,left,,,,,0,40,40,40,227.4258608299984,None,229.32329969999955,None,227.97363029999906,None,227.97363029999906,None,left,1,0.7546913999995013,227.97363029999906,None,stimuli/slot1_up.jpg,1,0,1,228.80926809999983,None,228.80926809999983,None,4600,self win,1,229.8230995999984,None,00,2021_Feb_28_1628,two-armed-bandit,2020.2.10,60.10554533748281,
0,0,self,win,self_win,1,Play to WIN points,41,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right,,,,,0,41,41,41,231.33794582999835,None,233.06896979999874,None,231.8864171999994,None,231.8864171999994,None,left,0,0.6164248000004591,231.8864171999994,None,stimuli/slot2_up.jpg,0,1,0,232.56969079999908,None,232.56969079999908,None,4600,self avoid win,0,233.57609479999883,None,00,2021_Feb_28_1628,two-armed-bandit,2020.2.10,60.10554533748281,
0,0,self,win,self_win,1,Play to WIN points,42,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right,,,,,0,42,42,42,235.08359072999846,None,236.58170679999967,None,235.64337479999995,None,235.64337479999995,None,right,1,0.3252263000013045,235.64337479999995,None,stimuli/slot1_up.jpg,1,0,1,236.06748609999886,None,236.06748609999886,None,4700,self win,1,237.0897991999991,None,00,2021_Feb_28_1628,two-armed-bandit,2020.2.10,60.10554533748281,
