subject,type,condition,goal,block,block_num,block_instr_text,trial_num,stim_0,stim_0_value,stim_1,stim_1_value,position_changed,stim_left,stim_right,stim_left_name,stim_right_name,stim_left_name_feedback,stim_right_name_feedback,optimal_stim,optimal_choice,practice_round.thisRepN,practice_round.thisTrialN,practice_round.thisN,practice_round.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,BlockInstr_disp.started,BlockInstr_disp.stopped,iti.started,iti.stopped,left.started,left.stopped,right.started,right.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,chosen_stim_name,chosen_stim_0,chosen_stim_1,true_accuracy,left_feedback.started,left_feedback.stopped,right_feedback.started,right_feedback.stopped,cumulativePts_self,outcomeDescr,outcome,feedback_text.started,feedback_text.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,self,win,self_win,1,Play to WIN points,0,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right,,,,,0,0,0,0,97.93857150000986,None,104.6384001999977,None,103.47176169999875,None,103.47176169999875,None,left,0,0.6053853000048548,103.47176169999875,None,stimuli/slot2_up.jpg,0,1,0,104.13842510001268,None,104.13842510001268,None,1900,self avoid win,0,105.13839049998205,None,00,2021_Mar_01_2315,two-armed-bandit,2021.1.0,60.00031199002817,
0,0,self,win,self_win,1,Play to WIN points,1,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right,,,,,0,1,1,1,106.63836171999574,None,108.25504299998283,None,107.1717119999812,None,107.1717119999812,None,right,1,0.5214684000238776,107.1717119999812,None,stimuli/slot1_up.jpg,1,0,1,107.75502039998537,None,107.75502039998537,None,2000,self win,1,108.75497100001667,None,00,2021_Mar_01_2315,two-armed-bandit,2021.1.0,60.00031199002817,
0,0,self,win,self_win,1,Play to WIN points,2,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot1_up.jpg,left,,,,,0,2,2,2,110.25496041999432,None,111.83826260000933,None,110.77105699997628,None,110.77105699997628,None,left,1,0.5062064999947324,110.77105699997628,None,stimuli/slot1_up.jpg,1,0,1,111.33827140001813,None,111.33827140001813,None,2100,self win,1,112.33822999999393,None,00,2021_Mar_01_2315,two-armed-bandit,2021.1.0,60.00031199002817,
0,0,self,win,self_win,1,Play to WIN points,3,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right,,,,,0,3,3,3,113.8381909199874,None,115.42146609997144,None,114.37149920000229,None,114.37149920000229,None,right,1,0.4898047000169754,114.37149920000229,None,stimuli/slot1_up.jpg,1,0,1,114.92153120000148,None,114.92153120000148,None,2200,self win,1,115.92145239998354,None,00,2021_Mar_01_2315,two-armed-bandit,2021.1.0,60.00031199002817,
0,0,self,win,self_win,1,Play to WIN points,4,stimuli/slot1_up.jpg,0,stimuli/slot2_up.jpg,1,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right,,,,,0,4,4,4,117.42148702001433,None,118.92138969997177,None,117.95474560000002,None,117.95474560000002,None,left,0,0.41057680000085384,117.95474560000002,None,stimuli/slot1_up.jpg,1,0,1,118.42143029998988,None,118.42143029998988,None,2200,self avoid win,0,119.42137920000823,None,00,2021_Mar_01_2315,two-armed-bandit,2021.1.0,60.00031199002817,
0,0,self,win,self_win,1,Play to WIN points,5,stimuli/slot1_up.jpg,0,stimuli/slot2_up.jpg,1,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right,,,,,0,5,5,5,120.92135451999494,None,122.38797450001584,None,121.43798719998449,None,121.43798719998449,None,left,0,0.3993661000276916,121.43798719998449,None,stimuli/slot1_up.jpg,1,0,1,121.88794909999706,None,121.88794909999706,None,2200,self avoid win,0,122.88794109999435,None,00,2021_Mar_01_2315,two-armed-bandit,2021.1.0,60.00031199002817,
0,0,self,win,self_win,1,Play to WIN points,6,stimuli/slot1_up.jpg,0,stimuli/slot2_up.jpg,1,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right,,,,,0,6,6,6,124.38794901999646,None,125.90453419997357,None,124.9212325999979,None,124.9212325999979,None,left,0,0.42019939998863265,124.9212325999979,None,stimuli/slot1_up.jpg,1,0,1,125.40456769999582,None,125.40456769999582,None,2200,self avoid win,0,126.40452639997238,None,00,2021_Mar_01_2315,two-armed-bandit,2021.1.0,60.00031199002817,
0,0,self,win,self_win,1,Play to WIN points,7,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot1_up.jpg,left,,,,,0,7,7,7,127.90448542000959,None,129.57114590000128,None,128.4378194999881,None,128.4378194999881,None,left,1,0.5836458000121638,128.4378194999881,None,stimuli/slot1_up.jpg,1,0,1,129.07113379996736,None,129.07113379996736,None,2300,self win,1,130.07110569998622,None,00,2021_Mar_01_2315,two-armed-bandit,2021.1.0,60.00031199002817,
0,0,self,win,self_win,1,Play to WIN points,8,stimuli/slot1_up.jpg,0,stimuli/slot2_up.jpg,1,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot2_up.jpg,left,,,,,0,8,8,8,131.57106962000253,None,132.92103640001733,None,132.10438189998968,None,132.10438189998968,None,left,1,0.2611310000065714,132.10438189998968,None,stimuli/slot2_up.jpg,0,1,0,132.42105539998738,None,132.42105539998738,None,2400,self win,1,133.42102259997046,None,00,2021_Mar_01_2315,two-armed-bandit,2021.1.0,60.00031199002817,
0,0,self,win,self_win,1,Play to WIN points,9,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot1_up.jpg,left,,,,,0,9,9,9,134.92097991999472,None,136.3376143000205,None,135.4543132999679,None,135.4543132999679,None,right,0,0.31920959998387843,135.4543132999679,None,stimuli/slot2_up.jpg,0,1,0,135.83764749998227,None,135.83764749998227,None,2400,self avoid win,0,136.83763829997042,None,00,2021_Mar_01_2315,two-armed-bandit,2021.1.0,60.00031199002817,
