subject,type,condition,goal,block,block_num,block_instr_text,trial_num,stim_0,stim_0_value,stim_1,stim_1_value,position_changed,stim_left,stim_right,stim_left_name,stim_right_name,stim_left_name_feedback,stim_right_name_feedback,optimal_stim,optimal_choice,n,BlockInstr_disp.started_raw,BlockInstr_disp.stopped_raw,feedback_text.started_mean,feedback_text.started_raw,feedback_text.started_std,feedback_text.stopped_raw,iti.started_mean,iti.started_raw,iti.started_std,iti.stopped_raw,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,key_resp.started_mean,key_resp.started_raw,key_resp.started_std,key_resp.stopped_raw,left.started_mean,left.started_raw,left.started_std,left.stopped_raw,left_feedback.started_mean,left_feedback.started_raw,left_feedback.started_std,left_feedback.stopped_raw,right.started_mean,right.started_raw,right.started_std,right.stopped_raw,right_feedback.started_mean,right_feedback.started_raw,right_feedback.started_std,right_feedback.stopped_raw,order
0,0,self,win,self_win,1,Play to WIN points,54,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right,1.0,280.08166262999987,,282.12939453125,282.12939453125,0.0,,281.62969970703125,281.62969970703125,0.0,,1.0,1.0,0.0,'right',0.41884419322013855,0.41884419322013855,0.0,280.627685546875,280.627685546875,0.0,,280.627685546875,280.627685546875,0.0,,281.1161193847656,281.1161193847656,0.0,,280.627685546875,280.627685546875,0.0,,281.1161193847656,281.1161193847656,0.0,,54.0
0,0,self,win,self_win,1,Play to WIN points,55,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right,1.0,283.6438150299997,,285.7669677734375,285.7669677734375,0.0,,285.2586669921875,285.2586669921875,0.0,,0.0,0.0,0.0,'left',0.476529985666275,0.476529985666275,0.0,284.1918640136719,284.1918640136719,0.0,,284.1918640136719,284.1918640136719,0.0,,284.7442321777344,284.7442321777344,0.0,,284.1918640136719,284.1918640136719,0.0,,284.7442321777344,284.7442321777344,0.0,,55.0
0,0,self,win,self_win,1,Play to WIN points,56,stimuli/slot1_up.jpg,0,stimuli/slot2_up.jpg,1,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right,1.0,287.27319472999955,,289.1308898925781,289.1308898925781,0.0,,288.6211242675781,288.6211242675781,0.0,,1.0,1.0,0.0,'right',0.23555800318717957,0.23555800318717957,0.0,287.8220520019531,287.8220520019531,0.0,,287.8220520019531,287.8220520019531,0.0,,288.1216735839844,288.1216735839844,0.0,,287.8220520019531,287.8220520019531,0.0,,288.1216735839844,288.1216735839844,0.0,,56.0
0,0,self,win,self_win,1,Play to WIN points,57,stimuli/slot1_up.jpg,0,stimuli/slot2_up.jpg,1,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right,1.0,290.63596932999974,,292.56744384765625,292.56744384765625,0.0,,292.0677490234375,292.0677490234375,0.0,,1.0,1.0,0.0,'right',0.30596908926963806,0.30596908926963806,0.0,291.1792297363281,291.1792297363281,0.0,,291.1792297363281,291.1792297363281,0.0,,291.5571594238281,291.5571594238281,0.0,,291.1792297363281,291.1792297363281,0.0,,291.5571594238281,291.5571594238281,0.0,,57.0
0,0,self,win,self_win,1,Play to WIN points,58,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot1_up.jpg,left,1.0,294.08226892999994,,296.12054443359375,296.12054443359375,0.0,,295.6134948730469,295.6134948730469,0.0,,0.0,0.0,0.0,'right',0.40108340978622437,0.40108340978622437,0.0,294.6316223144531,294.6316223144531,0.0,,294.6316223144531,294.6316223144531,0.0,,295.1003112792969,295.1003112792969,0.0,,294.6316223144531,294.6316223144531,0.0,,295.1003112792969,295.1003112792969,0.0,,58.0
0,0,self,win,self_win,1,Play to WIN points,59,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right,1.0,297.62785442999996,,299.6344909667969,299.6344909667969,0.0,,299.126220703125,299.126220703125,0.0,,1.0,1.0,0.0,'right',0.3880153000354767,0.3880153000354767,0.0,298.17333984375,298.17333984375,0.0,,298.17333984375,298.17333984375,0.0,,298.623291015625,298.623291015625,0.0,,298.17333984375,298.17333984375,0.0,,298.623291015625,298.623291015625,0.0,,59.0
0,0,self,win,self_win,1,Play to WIN points,60,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right,1.0,301.14050332999943,,303.1882629394531,303.1882629394531,0.0,,302.68865966796875,302.68865966796875,0.0,,1.0,1.0,0.0,'right',0.30353379249572754,0.30353379249572754,0.0,301.6888427734375,301.6888427734375,0.0,,301.6888427734375,301.6888427734375,0.0,,302.1867980957031,302.1867980957031,0.0,,301.6888427734375,301.6888427734375,0.0,,302.1867980957031,302.1867980957031,0.0,,60.0
0,0,self,win,self_win,1,Play to WIN points,61,stimuli/slot1_up.jpg,0,stimuli/slot2_up.jpg,1,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot2_up.jpg,left,1.0,304.7029055299987,,306.70758056640625,306.70758056640625,0.0,,306.2012634277344,306.2012634277344,0.0,,0.0,0.0,0.0,'right',0.3784256875514984,0.3784256875514984,0.0,305.2502746582031,305.2502746582031,0.0,,305.2502746582031,305.2502746582031,0.0,,305.70220947265625,305.70220947265625,0.0,,305.2502746582031,305.2502746582031,0.0,,305.70220947265625,305.70220947265625,0.0,,61.0
0,0,self,win,self_win,1,Play to WIN points,62,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right,1.0,308.21589322999864,,310.4459228515625,310.4459228515625,0.0,,309.9464416503906,309.9464416503906,0.0,,0.0,0.0,0.0,'left',0.611194908618927,0.611194908618927,0.0,308.7666015625,308.7666015625,0.0,,308.7666015625,308.7666015625,0.0,,309.4425048828125,309.4425048828125,0.0,,308.7666015625,308.7666015625,0.0,,309.4425048828125,309.4425048828125,0.0,,62.0
0,0,self,win,self_win,1,Play to WIN points,63,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot1_up.jpg,left,1.0,311.9613039299999,,313.8591613769531,313.8591613769531,0.0,,313.359619140625,313.359619140625,0.0,,0.0,0.0,0.0,'right',0.25977110862731934,0.25977110862731934,0.0,312.50775146484375,312.50775146484375,0.0,,312.50775146484375,312.50775146484375,0.0,,312.8451232910156,312.8451232910156,0.0,,312.50775146484375,312.50775146484375,0.0,,312.8451232910156,312.8451232910156,0.0,,63.0
