index,subject,order_num,session,condition,goal,block,block_num,block_instr_text,trial_num,stim_0,stim_0_value,stim_1,stim_1_value,position_changed,stim_left,stim_right,stim_left_name,stim_right_name,optimal_stim,optimal_choice,practice_round.thisRepN,practice_round.thisTrialN,practice_round.thisN,practice_round.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,BlockInstr_disp.started,BlockInstr_disp.stopped,iti.started,iti.stopped,left.started,left.stopped,right.started,right.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,chosen_stim_name,chosen_stim_0,chosen_stim_1,true_accuracy,left_feedback.started,left_feedback.stopped,right_feedback.started,right_feedback.stopped,circle.started,circle.stopped,cumulativePts_social,cumulativePts_self,outcomeDescr,outcome,feedback_text.started,feedback_text.stopped,participant,date,expName,psychopyVersion,frameRate,
84,0,3,0,self,win,self_win,0,"Play to WIN points

for YOURSELF",12,stimuli/tunga_14.bmp,1,stimuli/tunga_02.bmp,0,1,2,14,stimuli/tunga_02.bmp,stimuli/tunga_14.bmp,stimuli/tunga_14.bmp,right,,,,,0,84,84,84,340.68327871000076,None,342.09825530000035,None,341.18336069999987,None,341.18336069999987,None,right,1,0.3744251999996777,341.18336069999987,None,stimuli/tunga_14.bmp,1,0,1,341.58488560000023,None,341.58488560000023,None,341.58488560000023,None,1900,1000,self win,1,342.5979075000005,None,00,2021_Feb_28_1419,prosocial-learning,2020.2.4,60.08218040633399,
85,0,3,0,self,win,self_win,0,"Play to WIN points

for YOURSELF",13,stimuli/tunga_14.bmp,1,stimuli/tunga_02.bmp,0,1,2,14,stimuli/tunga_02.bmp,stimuli/tunga_14.bmp,stimuli/tunga_14.bmp,right,,,,,0,85,85,85,344.1128476099999,None,345.64408490000005,None,344.6128116,None,344.6128116,None,right,1,0.49321429999963584,344.6128116,None,stimuli/tunga_14.bmp,1,0,1,345.13107300000047,None,345.13107300000047,None,345.13107300000047,None,1900,1100,self win,1,346.14368319999994,None,00,2021_Feb_28_1419,prosocial-learning,2020.2.4,60.08218040633399,
86,0,3,0,self,win,self_win,0,"Play to WIN points

for YOURSELF",14,stimuli/tunga_14.bmp,1,stimuli/tunga_02.bmp,0,0,14,2,stimuli/tunga_14.bmp,stimuli/tunga_02.bmp,stimuli/tunga_14.bmp,left,,,,,0,86,86,86,347.65858941000045,None,349.2067158,None,348.15849049999997,None,348.15849049999997,None,left,1,0.5024371000008614,348.15849049999997,None,stimuli/tunga_14.bmp,1,0,1,348.6956230000005,None,348.6956230000005,None,348.6956230000005,None,1900,1200,self win,1,349.7062528000006,None,00,2021_Feb_28_1419,prosocial-learning,2020.2.4,60.08218040633399,
87,0,3,0,self,win,self_win,0,"Play to WIN points

for YOURSELF",15,stimuli/tunga_14.bmp,0,stimuli/tunga_02.bmp,1,1,2,14,stimuli/tunga_02.bmp,stimuli/tunga_14.bmp,stimuli/tunga_02.bmp,left,,,,,0,87,87,87,351.22109911000064,None,352.6028062000005,None,351.7212218000004,None,351.7212218000004,None,right,0,0.3481244999993578,351.7212218000004,None,stimuli/tunga_14.bmp,1,0,1,352.0894308000006,None,352.0894308000006,None,352.0894308000006,None,1900,1200,self avoid win,0,353.1021588000003,None,00,2021_Feb_28_1419,prosocial-learning,2020.2.4,60.08218040633399,
88,0,3,0,self,win,self_win,0,"Play to WIN points

for YOURSELF",16,stimuli/tunga_14.bmp,0,stimuli/tunga_02.bmp,1,0,14,2,stimuli/tunga_14.bmp,stimuli/tunga_02.bmp,stimuli/tunga_02.bmp,right,,,,,0,88,88,88,354.61748601000056,None,356.0155598000001,None,355.11719230000017,None,355.11719230000017,None,right,1,0.3636373999997886,355.11719230000017,None,stimuli/tunga_02.bmp,0,1,0,355.5027779000002,None,355.5027779000002,None,355.5027779000002,None,1900,1300,self win,1,356.51495650000015,None,00,2021_Feb_28_1419,prosocial-learning,2020.2.4,60.08218040633399,
89,0,3,0,self,win,self_win,0,"Play to WIN points

for YOURSELF",17,stimuli/tunga_14.bmp,1,stimuli/tunga_02.bmp,0,0,14,2,stimuli/tunga_14.bmp,stimuli/tunga_02.bmp,stimuli/tunga_14.bmp,left,,,,,0,89,89,89,358.02990611000007,None,359.46170359999996,None,358.5298491000003,None,358.5298491000003,None,left,1,0.4089712999993935,358.5298491000003,None,stimuli/tunga_14.bmp,1,0,1,358.96368170000005,None,358.96368170000005,None,358.96368170000005,None,1900,1400,self win,1,359.9612498000006,None,00,2021_Feb_28_1419,prosocial-learning,2020.2.4,60.08218040633399,
90,0,3,0,self,win,self_win,0,"Play to WIN points

for YOURSELF",18,stimuli/tunga_14.bmp,1,stimuli/tunga_02.bmp,0,1,2,14,stimuli/tunga_02.bmp,stimuli/tunga_14.bmp,stimuli/tunga_14.bmp,right,,,,,0,90,90,90,361.4759463100005,None,362.8741385000003,None,361.9758489000005,None,361.9758489000005,None,right,1,0.35115220000079717,361.9758489000005,None,stimuli/tunga_14.bmp,1,0,1,362.36325300000044,None,362.36325300000044,None,362.36325300000044,None,1900,1500,self win,1,363.37377600000036,None,00,2021_Feb_28_1419,prosocial-learning,2020.2.4,60.08218040633399,
91,0,3,0,self,win,self_win,0,"Play to WIN points

for YOURSELF",19,stimuli/tunga_14.bmp,0,stimuli/tunga_02.bmp,1,0,14,2,stimuli/tunga_14.bmp,stimuli/tunga_02.bmp,stimuli/tunga_02.bmp,right,,,,,0,91,91,91,364.8887836099999,None,366.4201982000004,None,365.3887540000005,None,365.3887540000005,None,left,0,0.4917176999997537,365.3887540000005,None,stimuli/tunga_14.bmp,1,0,1,365.90743310000016,None,365.90743310000016,None,365.90743310000016,None,1900,1500,self avoid win,0,366.9231043,None,00,2021_Feb_28_1419,prosocial-learning,2020.2.4,60.08218040633399,
92,0,3,0,self,win,self_win,0,"Play to WIN points

for YOURSELF",20,stimuli/tunga_14.bmp,0,stimuli/tunga_02.bmp,1,0,14,2,stimuli/tunga_14.bmp,stimuli/tunga_02.bmp,stimuli/tunga_02.bmp,right,,,,,0,92,92,92,368.43469251000045,None,369.8661589000003,None,368.9345142000002,None,368.9345142000002,None,left,0,0.39547749999928783,368.9345142000002,None,stimuli/tunga_14.bmp,1,0,1,369.3535010000005,None,369.3535010000005,None,369.3535010000005,None,1900,1500,self avoid win,0,370.3655060000001,None,00,2021_Feb_28_1419,prosocial-learning,2020.2.4,60.08218040633399,
93,0,3,0,self,win,self_win,0,"Play to WIN points

for YOURSELF",21,stimuli/tunga_14.bmp,1,stimuli/tunga_02.bmp,0,0,14,2,stimuli/tunga_14.bmp,stimuli/tunga_02.bmp,stimuli/tunga_14.bmp,left,,,,,0,93,93,93,371.8808173100002,None,373.1955981000001,None,372.3804619000002,None,372.3804619000002,None,right,0,0.27608950000012555,372.3804619000002,None,stimuli/tunga_02.bmp,0,1,0,372.68187300000045,None,372.68187300000045,None,372.68187300000045,None,1900,1500,self avoid win,0,373.6951071000003,None,00,2021_Feb_28_1419,prosocial-learning,2020.2.4,60.08218040633399,
94,0,3,0,self,win,self_win,0,"Play to WIN points

for YOURSELF",22,stimuli/tunga_14.bmp,1,stimuli/tunga_02.bmp,0,1,2,14,stimuli/tunga_02.bmp,stimuli/tunga_14.bmp,stimuli/tunga_14.bmp,right,,,,,0,94,94,94,375.20985901000006,None,376.7082960000007,None,375.7099371000004,None,375.7099371000004,None,left,0,0.4546848999998474,375.7099371000004,None,stimuli/tunga_02.bmp,0,1,0,376.1956670999998,None,376.1956670999998,None,376.1956670999998,None,1900,1500,self avoid win,0,377.2077565999998,None,00,2021_Feb_28_1419,prosocial-learning,2020.2.4,60.08218040633399,
95,0,3,0,self,win,self_win,0,"Play to WIN points

for YOURSELF",23,stimuli/tunga_14.bmp,1,stimuli/tunga_02.bmp,0,0,14,2,stimuli/tunga_14.bmp,stimuli/tunga_02.bmp,stimuli/tunga_14.bmp,left,,,,,0,95,95,95,378.7226127099999,None,380.0877369,None,379.2226470000005,None,379.2226470000005,None,left,1,0.35002410000015516,379.2226470000005,None,stimuli/tunga_14.bmp,1,0,1,379.5895825000007,None,379.5895825000007,None,379.5895825000007,None,1900,1600,self win,1,380.5887465000005,None,00,2021_Feb_28_1419,prosocial-learning,2020.2.4,60.08218040633399,
