subject,1,2,5,10,20,50,100
102,85,85,85,85,85,65,85
105,-5,-5,-5,-5,-5,-5,-5
106,85,85,-5,5,5,5,5
107,85,85,85,85,85,5,5
113,85,55,65,55,25,15,5
114,65,55,45,55,45,15,15
116,85,85,85,85,85,85,85
119,85,85,85,85,85,25,-5
120,85,75,85,35,15,5,-5
121,85,85,85,85,85,85,85
122,85,85,65,85,65,65,65
123,75,85,85,15,5,5,5
124,75,75,65,45,25,25,25
125,85,85,85,85,85,25,5
126,85,85,5,85,65,55,65
127,75,85,65,85,35,25,25
128,85,85,85,85,85,85,85
132,85,85,85,45,55,55,5
135,85,85,85,85,5,5,-5
136,85,85,85,25,15,5,5
137,85,85,85,85,85,15,5
138,75,75,75,75,75,25,5
139,85,85,25,5,5,5,5
141,85,85,65,25,25,25,5
143,55,55,45,45,25,25,15
147,85,25,25,25,5,5,5
201,85,85,85,85,85,85,85
202,85,85,85,75,85,85,85
203,85,85,85,85,-5,-5,-5
205,85,85,85,85,85,85,85
206,85,85,85,75,65,35,25
207,75,75,75,75,25,25,5
208,85,85,65,45,45,45,55
209,85,85,85,85,85,85,85
210,85,85,85,85,85,25,25
211,85,85,85,85,85,85,85
212,85,85,85,85,85,85,85
213,75,75,75,75,45,45,25
214,85,85,85,85,85,25,5
215,85,85,85,85,85,85,85
216,5,45,85,-5,5,5,5
217,85,85,85,85,85,85,45
218,85,85,85,85,85,85,85
219,85,85,85,85,55,65,35
220,85,85,85,85,85,65,15
221,85,25,5,5,25,5,-5
