key_resp.keys,key_resp.corr,key_resp.rt,chosen_stim_name,chosen_stim_0,chosen_stim_1,true_accuracy,cumulativePts_self,cumulativePts_social,outcomeDescr,practice_round.thisRepN,practice_round.thisTrialN,practice_round.thisN,practice_round.thisIndex,practice_round.ran,index,condition,goal,block,block_num,block_instr_text,trial_num,stim_0,stim_0_value,stim_1,stim_1_value,position_changed,stim_left,stim_right,stim_left_name,stim_right_name,optimal_stim,optimal_choice,participant,date,expName,psychopyVersion,OS,frameRate,outcome,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,subject,order_num,session
left,0,1.250265,stimuli/tunga_21.bmp,0,1,0,1000,1000,practice,0,0,0,0,1,100,practice,win,practice_win,1,Play to WIN points,0,stimuli/tunga_22.bmp,1,stimuli/tunga_21.bmp,0,1,21,22,stimuli/tunga_21.bmp,stimuli/tunga_22.bmp,stimuli/tunga_22.bmp,right,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,,,,,,,,,
left,0,0.938885,stimuli/tunga_21.bmp,0,1,0,1000,1000,practice,0,1,1,1,1,101,practice,win,practice_win,1,Play to WIN points,1,stimuli/tunga_22.bmp,1,stimuli/tunga_21.bmp,0,1,21,22,stimuli/tunga_21.bmp,stimuli/tunga_22.bmp,stimuli/tunga_22.bmp,right,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,,,,,,,,,
left,0,1.206305,stimuli/tunga_22.bmp,1,0,1,1000,1000,practice,0,2,2,2,1,102,practice,win,practice_win,1,Play to WIN points,2,stimuli/tunga_22.bmp,0,stimuli/tunga_21.bmp,1,0,22,21,stimuli/tunga_22.bmp,stimuli/tunga_21.bmp,stimuli/tunga_21.bmp,right,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,,,,,,,,,
right,0,0.651925,stimuli/tunga_21.bmp,0,1,0,1000,1000,practice,0,3,3,3,1,103,practice,win,practice_win,1,Play to WIN points,3,stimuli/tunga_22.bmp,1,stimuli/tunga_21.bmp,0,0,22,21,stimuli/tunga_22.bmp,stimuli/tunga_21.bmp,stimuli/tunga_22.bmp,left,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,,,,,,,,,
left,1,0.886195,stimuli/tunga_21.bmp,0,1,0,1000,1000,practice,0,4,4,4,1,104,practice,win,practice_win,1,Play to WIN points,4,stimuli/tunga_22.bmp,0,stimuli/tunga_21.bmp,1,1,21,22,stimuli/tunga_21.bmp,stimuli/tunga_22.bmp,stimuli/tunga_21.bmp,left,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,,,,,,,,,
right,0,0.565815,stimuli/tunga_21.bmp,0,1,0,1000,1000,practice,0,5,5,5,1,105,practice,win,practice_win,1,Play to WIN points,5,stimuli/tunga_22.bmp,1,stimuli/tunga_21.bmp,0,0,22,21,stimuli/tunga_22.bmp,stimuli/tunga_21.bmp,stimuli/tunga_22.bmp,left,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,,,,,,,,,
left,0,0.73493,stimuli/tunga_21.bmp,0,1,0,1000,1000,practice,0,6,6,6,1,106,practice,win,practice_win,1,Play to WIN points,6,stimuli/tunga_22.bmp,1,stimuli/tunga_21.bmp,0,1,21,22,stimuli/tunga_21.bmp,stimuli/tunga_22.bmp,stimuli/tunga_22.bmp,right,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,,,,,,,,,
right,0,0.669555,stimuli/tunga_21.bmp,0,1,0,1000,1000,practice,0,7,7,7,1,107,practice,win,practice_win,1,Play to WIN points,7,stimuli/tunga_22.bmp,1,stimuli/tunga_21.bmp,0,0,22,21,stimuli/tunga_22.bmp,stimuli/tunga_21.bmp,stimuli/tunga_22.bmp,left,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,,,,,,,,,
right,0,1.297755,stimuli/tunga_24.bmp,0,1,1,1000,1000,practice,0,8,8,8,1,108,practice,avoidloss,practice_avoidloss,3,Play to AVOID LOSING points,0,stimuli/tunga_23.bmp,0,stimuli/tunga_24.bmp,-1,0,23,24,stimuli/tunga_23.bmp,stimuli/tunga_24.bmp,stimuli/tunga_23.bmp,left,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,,,,,,,,,
right,1,0.507515,stimuli/tunga_24.bmp,0,1,1,1000,1000,practice,0,9,9,9,1,109,practice,avoidloss,practice_avoidloss,3,Play to AVOID LOSING points,1,stimuli/tunga_23.bmp,-1,stimuli/tunga_24.bmp,0,0,23,24,stimuli/tunga_23.bmp,stimuli/tunga_24.bmp,stimuli/tunga_24.bmp,right,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,,,,,,,,,
,0,,,,,,1000,1000,practice,0,10,10,10,1,110,practice,avoidloss,practice_avoidloss,3,Play to AVOID LOSING points,2,stimuli/tunga_23.bmp,-1,stimuli/tunga_24.bmp,0,1,24,23,stimuli/tunga_24.bmp,stimuli/tunga_23.bmp,stimuli/tunga_24.bmp,left,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,,,,,,,,,
left,0,0.5879,stimuli/tunga_24.bmp,0,1,1,1000,1000,practice,0,11,11,11,1,111,practice,avoidloss,practice_avoidloss,3,Play to AVOID LOSING points,3,stimuli/tunga_23.bmp,0,stimuli/tunga_24.bmp,-1,1,24,23,stimuli/tunga_24.bmp,stimuli/tunga_23.bmp,stimuli/tunga_23.bmp,right,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,,,,,,,,,
left,0,0.485085,stimuli/tunga_23.bmp,1,0,0,1000,1000,practice,0,12,12,12,1,112,practice,avoidloss,practice_avoidloss,3,Play to AVOID LOSING points,4,stimuli/tunga_23.bmp,-1,stimuli/tunga_24.bmp,0,0,23,24,stimuli/tunga_23.bmp,stimuli/tunga_24.bmp,stimuli/tunga_24.bmp,right,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,,,,,,,,,
left,0,0.35041,stimuli/tunga_23.bmp,1,0,0,1000,1000,practice,0,13,13,13,1,113,practice,avoidloss,practice_avoidloss,3,Play to AVOID LOSING points,5,stimuli/tunga_23.bmp,-1,stimuli/tunga_24.bmp,0,0,23,24,stimuli/tunga_23.bmp,stimuli/tunga_24.bmp,stimuli/tunga_24.bmp,right,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,,,,,,,,,
left,1,0.58288,stimuli/tunga_24.bmp,0,1,1,1000,1000,practice,0,14,14,14,1,114,practice,avoidloss,practice_avoidloss,3,Play to AVOID LOSING points,6,stimuli/tunga_23.bmp,-1,stimuli/tunga_24.bmp,0,1,24,23,stimuli/tunga_24.bmp,stimuli/tunga_23.bmp,stimuli/tunga_24.bmp,left,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,,,,,,,,,
left,1,0.59126,stimuli/tunga_24.bmp,0,1,1,1000,1000,practice,0,15,15,15,1,115,practice,avoidloss,practice_avoidloss,3,Play to AVOID LOSING points,7,stimuli/tunga_23.bmp,-1,stimuli/tunga_24.bmp,0,1,24,23,stimuli/tunga_24.bmp,stimuli/tunga_23.bmp,stimuli/tunga_24.bmp,left,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,,,,,,,,,
left,1,0.60647,stimuli/tunga_08.bmp,0,1,1,1000,1000,self avoid loss,,,,,,0,self,avoidloss,self_avoidloss,2,"Play to AVOID LOSING points

for YOURSELF",0,stimuli/tunga_12.bmp,-1,stimuli/tunga_08.bmp,0,1,8,12,stimuli/tunga_08.bmp,stimuli/tunga_12.bmp,stimuli/tunga_08.bmp,left,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,0,0,0,0,0,1,10,1,0
left,1,0.602365,stimuli/tunga_08.bmp,0,1,1,1000,1000,self avoid loss,,,,,,1,self,avoidloss,self_avoidloss,2,"Play to AVOID LOSING points

for YOURSELF",1,stimuli/tunga_12.bmp,-1,stimuli/tunga_08.bmp,0,1,8,12,stimuli/tunga_08.bmp,stimuli/tunga_12.bmp,stimuli/tunga_08.bmp,left,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,0,0,1,1,1,1,10,1,0
left,1,0.392535,stimuli/tunga_08.bmp,0,1,1,1000,1000,self avoid loss,,,,,,2,self,avoidloss,self_avoidloss,2,"Play to AVOID LOSING points

for YOURSELF",2,stimuli/tunga_12.bmp,-1,stimuli/tunga_08.bmp,0,1,8,12,stimuli/tunga_08.bmp,stimuli/tunga_12.bmp,stimuli/tunga_08.bmp,left,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,0,0,2,2,2,1,10,1,0
left,1,0.402525,stimuli/tunga_08.bmp,0,1,1,1000,1000,self avoid loss,,,,,,3,self,avoidloss,self_avoidloss,2,"Play to AVOID LOSING points

for YOURSELF",3,stimuli/tunga_12.bmp,-1,stimuli/tunga_08.bmp,0,1,8,12,stimuli/tunga_08.bmp,stimuli/tunga_12.bmp,stimuli/tunga_08.bmp,left,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,0,0,3,3,3,1,10,1,0
left,0,0.583935,stimuli/tunga_08.bmp,0,1,1,900,1000,self lose,,,,,,4,self,avoidloss,self_avoidloss,2,"Play to AVOID LOSING points

for YOURSELF",4,stimuli/tunga_12.bmp,0,stimuli/tunga_08.bmp,-1,1,8,12,stimuli/tunga_08.bmp,stimuli/tunga_12.bmp,stimuli/tunga_12.bmp,right,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,-1,0,4,4,4,1,10,1,0
right,0,0.981315,stimuli/tunga_12.bmp,1,0,0,800,1000,self lose,,,,,,5,self,avoidloss,self_avoidloss,2,"Play to AVOID LOSING points

for YOURSELF",5,stimuli/tunga_12.bmp,-1,stimuli/tunga_08.bmp,0,1,8,12,stimuli/tunga_08.bmp,stimuli/tunga_12.bmp,stimuli/tunga_08.bmp,left,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,-1,0,5,5,5,1,10,1,0
right,1,0.717315,stimuli/tunga_08.bmp,0,1,1,800,1000,self avoid loss,,,,,,6,self,avoidloss,self_avoidloss,2,"Play to AVOID LOSING points

for YOURSELF",6,stimuli/tunga_12.bmp,-1,stimuli/tunga_08.bmp,0,0,12,8,stimuli/tunga_12.bmp,stimuli/tunga_08.bmp,stimuli/tunga_08.bmp,right,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,0,0,6,6,6,1,10,1,0
right,1,0.53377,stimuli/tunga_08.bmp,0,1,1,800,1000,self avoid loss,,,,,,7,self,avoidloss,self_avoidloss,2,"Play to AVOID LOSING points

for YOURSELF",7,stimuli/tunga_12.bmp,-1,stimuli/tunga_08.bmp,0,0,12,8,stimuli/tunga_12.bmp,stimuli/tunga_08.bmp,stimuli/tunga_08.bmp,right,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,0,0,7,7,7,1,10,1,0
right,1,0.59184,stimuli/tunga_08.bmp,0,1,1,800,1000,self avoid loss,,,,,,8,self,avoidloss,self_avoidloss,2,"Play to AVOID LOSING points

for YOURSELF",8,stimuli/tunga_12.bmp,-1,stimuli/tunga_08.bmp,0,0,12,8,stimuli/tunga_12.bmp,stimuli/tunga_08.bmp,stimuli/tunga_08.bmp,right,10,2021-04-06_12h10.59.554,psyc-347-prosocial-learning,2020.2.4post1,MacIntel,60,0,0,8,8,8,1,10,1,0
